# Jeu de données : Importations de céréales du Sénégal (série nationale)
# SOURCE OFFICIELLE : ANSD/DAPSA, TABLEAU G.02.02, fichier BADIS 2018
#   "Importations des céréales, 1970 - 2018" (data/raw/ansd_downloads/)
# Année civile.
year,import_tonnes,source
1970,236857.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1971,362617.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1972,275716.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1973,348843.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1974,328000.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1975,216100.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1976,427700.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1977,407100.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1978,453700.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1979,504100.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1980,451800.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1981,487800.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1982,442086.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1983,582677.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1984,674623.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1985,563020.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1986,449742.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1987,358702.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1988,425854.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1989,511712.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1990,491627.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1991,593791.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1992,511740.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1993,547998.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1994,480990.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1995,612484.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1996,488601.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1997,735000.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1998,772180.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
1999,862490.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2000,728872.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2001,872631.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2002,817500.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2003,999184.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2004,841431.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2005,935582.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2006,703671.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2007,1295289.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2008,1051085.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2009,1046637.9,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2010,1172269.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2011,1363630.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2012,1569406.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2013,1551230.2,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2014,1717391.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2015,1786664.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2016,1749425.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2017,1927945.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
2018,1984477.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.02)"
