# Jeu de données : Production nette de céréales du Sénégal (série nationale)
# SOURCE OFFICIELLE : ANSD/DAPSA, TABLEAU G.02.01, fichier BADIS 2018
#   "SECTION G - AGRICULTURE ET SECURITE ALIMENTAIRE" (data/raw/ansd_downloads/)
# Année = année de début de la campagne agricole (voir docstring du script
# scripts/build_agriculture_csv.py pour la convention de rapprochement avec
# les importations, qui sont en année civile).
year,production_nette_tonnes,source
1969,664782.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1970,410268.6,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1971,591858.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1972,313384.2,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1973,501477.6,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1974,788747.6,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1975,639200.8,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1976,543214.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1977,414091.6,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1978,772255.8,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1979,539310.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1980,550245.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1981,781709.6,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1982,628976.2,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1983,411066.8,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1984,565297.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1985,1019496.4,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1986,715328.9,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1987,861172.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1988,699531.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1989,863871.1,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1990,769426.9,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1991,760387.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1992,682755.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1993,873899.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1994,760496.4,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1995,860903.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1996,791728.2,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1997,619740.4,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1998,577749.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
1999,900557.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2000,820448.1,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2001,755131.4,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2002,623626.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2003,1192886.9,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2004,844100.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2005,1152895.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2006,791492.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2007,607091.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2008,1374611.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2009,1356662.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2010,1348618.0,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2011,830898.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2012,1165518.4,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2013,891346.1,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2014,821381.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2015,1436760.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2016,1385464.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2017,1689297.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2018,2181835.9,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2019,1714332.3,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2020,2825368.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2021,2692302.7,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2022,2832312.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
2023,3107797.5,"ANSD/DAPSA (BADIS 2018, TABLEAU G.02.01)"
