# Commerce extérieur du Sénégal - exportations et importations par pays
# SOURCE OFFICIELLE EXACTE : ANSD/DGIT, "Imports et exports janvier 2010 - février 2026"
#   téléchargé depuis https://www.ansd.sn/toutes-les-publications
# Valeurs douanières (VALDOUANE), agrégation annuelle des séries mensuelles.
# Top 15 partenaires + "Autres" ; "Total Sénégal" = total national.
year,flow_type,country,share_pct,value_fcfa_billions,source
2010,Importation,France,19.68,462.2,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Nigeria,10.31,242.1,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Republique Populaire De Chine,8.38,196.74,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Pays-Bas,5.33,125.2,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Royaume-Uni,4.93,115.8,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Espagne,3.97,93.13,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Thailande,3.28,76.94,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Bresil,2.69,63.2,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Etats Unis D'Amerique,2.62,61.46,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Inde,2.47,58.02,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Cote D'Ivoire,2.39,56.23,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Republique D'Ukraine,2.36,55.51,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Argentine,2.36,55.5,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Japon,2.34,54.95,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Allemagne,2.22,52.03,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Autres,24.67,579.46,ANSD/DGIT (imports_exports 2010-2026)
2010,Importation,Total Sénégal,,2348.48,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,France,17.53,478.88,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Nigeria,9.34,255.22,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Republique Populaire De Chine,6.73,183.93,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Pays-Bas,6.64,181.34,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Royaume-Uni,5.37,146.61,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Etats Unis D'Amerique,4.15,113.22,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Turquie,3.85,105.16,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Espagne,3.44,93.86,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Thailande,3.37,91.98,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Cote D'Ivoire,3.21,87.71,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Bresil,3.11,84.88,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Italie,2.95,80.54,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Vietnam,2.08,56.93,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Inde,2.05,55.88,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Afrique Du Sud,1.81,49.38,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Autres,24.37,665.65,ANSD/DGIT (imports_exports 2010-2026)
2011,Importation,Total Sénégal,,2731.17,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,France,14.81,482.49,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Nigeria,11.89,387.41,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Inde,6.71,218.5,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Republique Populaire De Chine,5.94,193.4,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Royaume-Uni,5.14,167.3,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Espagne,3.45,112.46,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Russie,3.31,107.68,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Belgique,2.93,95.35,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Cote D'Ivoire,2.85,92.95,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Pays-Bas,2.85,92.77,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Turquie,2.62,85.47,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Etats Unis D'Amerique,2.42,78.79,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Japon,2.01,65.5,ANSD/DGIT (imports_exports 2010-2026)
2012,Importation,Italie,2.0,65.31,ANSD/DGIT (imports_exports 2010-2026)
