# Jeu de données : Infrastructures sanitaires publiques du Sénégal par région
# SOURCE OFFICIELLE EXACTE :
#   ANSD - SECTION F-SANTE_2023.xls, Tableau F.04.03 "Infrastructures sanitaires par région"
#   Source primaire : DPRS/MSAS (Direction de la Planification, de la Recherche et des Statistiques,
#   Ministère de la Santé et de l'Action Sociale)
#   Fichier téléchargé depuis https://www.ansd.sn/toutes-les-publications
# Année régionale la plus complète : 2018. Séries nationales : 1970-2018.
# NB : cases de santé non ventilées par région dans ce tableau.
region,facility_type,count,year,source
Dakar,Hôpital,14,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Dakar,Centre de santé,24,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Dakar,Poste de santé,201,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Diourbel,Hôpital,3,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Diourbel,Centre de santé,8,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Diourbel,Poste de santé,103,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Fatick,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Fatick,Centre de santé,8,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Fatick,Poste de santé,124,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaolack,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaolack,Centre de santé,4,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaolack,Poste de santé,118,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kolda,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kolda,Centre de santé,4,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kolda,Poste de santé,66,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Louga,Hôpital,2,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Louga,Centre de santé,10,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Louga,Poste de santé,125,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Matam,Hôpital,2,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Matam,Centre de santé,5,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Matam,Poste de santé,100,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Saint-Louis,Hôpital,3,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Saint-Louis,Centre de santé,7,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Saint-Louis,Poste de santé,134,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Tambacounda,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Tambacounda,Centre de santé,7,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Tambacounda,Poste de santé,138,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Thiès,Hôpital,5,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Thiès,Centre de santé,9,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Thiès,Poste de santé,180,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Ziguinchor,Hôpital,3,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Ziguinchor,Centre de santé,5,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Ziguinchor,Poste de santé,124,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kedougou,Hôpital,0,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kedougou,Centre de santé,3,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kedougou,Poste de santé,42,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaffrine,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaffrine,Centre de santé,4,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Kaffrine,Poste de santé,89,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Sédhiou,Hôpital,1,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Sédhiou,Centre de santé,3,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
Sédhiou,Poste de santé,61,2018,"ANSD/MSAS DPRS (Tableau F.04.03, SECTION F-SANTE 2023)"
National,Hôpital,22,2005,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,22,2006,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,22,2007,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,22,2008,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,25,2009,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,34,2010,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,34,2011,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,30,2012,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,30,2013,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,34,2015,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,34,2016,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,34,2017,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Hôpital,38,2018,ANSD/MSAS DPRS (Tableau F.04.01/F.04.03)
National,Centre de santé,54,2000,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,58,2001,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,67,2005,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,68,2006,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,75,2007,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,95,2008,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,78,2009,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,89,2010,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,88,2011,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,88,2012,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,88,2013,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,97,2015,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,100,2016,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,100,2017,ANSD/MSAS DPRS (Tableau F.04.03)
National,Centre de santé,101,2018,ANSD/MSAS DPRS (Tableau F.04.03)
