# Jeu de données : Population résidente du Sénégal par région
# SOURCE OFFICIELLE EXACTE :
#   ANSD - RGPH-5 (5e Recensement Général de la Population et de l'Habitat, 2023),
#   valeurs régionales reprises du fichier officiel
#   "Projections démographiques du Sénégal 2023-2050" (colonne RGPH-5 2023)
#   téléchargé depuis https://www.ansd.sn/toutes-les-publications
# Population nationale : 18 126 390 habitants (50,6% hommes / 49,4% femmes).
# Les projections 2024-2050 sont dans projections_regions_2023_2050.csv.
region,count,share_pct,year,source
National,18126390,,2023,"ANSD (RGPH-5, 2023)"
Dakar,4004425,22.1,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Thiès,2463679,13.6,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Diourbel,2080332,11.5,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Kaolack,1336718,7.4,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Saint-Louis,1202438,6.6,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Louga,1125910,6.2,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Tambacounda,987154,5.4,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Kolda,914797,5.0,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Fatick,906922,5.0,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Matam,831632,4.6,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Kaffrine,820404,4.5,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Ziguinchor,617568,3.4,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Sédhiou,589264,3.3,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
Kédougou,245147,1.4,2023,ANSD (RGPH-5 2023 via Projections 2023-2050)
