region,population_2023,population_2024,population_2025,population_2026,population_2027,population_2028
Dakar,4293686,4391495,4491139,4592666,4696128,4801564
Thiès,2524516,2587090,2650885,2715943,2782299,2849998
Diourbel,2018772,2063036,2108150,2154143,2201044,2248883
Fatick,932651,959568,987160,1015453,1044475,1074253
Kaolack,1375350,1415481,1456669,1498950,1542362,1586942
Kaffrine,848581,878045,908487,939946,972462,1006075
Kolda,941511,969385,998122,1027757,1058326,1089864
Matam,855290,879983,905432,931677,958758,986708
Louga,1155703,1186520,1218224,1250846,1284417,1318971
Tambacounda,1017563,1049252,1081983,1115793,1150718,1186800
Sédhiou,606772,625043,644052,663834,684425,705861
Kédougou,252080,259267,266673,274313,282202,290353
Saint-Louis,1230598,1259716,1289635,1320381,1351982,1384467
Ziguinchor,630079,648404,667393,687081,707502,728689
