# Projections démographiques ANSD (départements) — base RGPH-5 2023
# SOURCE OFFICIELLE EXACTE : ANSD, "Projections démographiques du Sénégal 2023-2050"
#   téléchargé depuis https://www.ansd.sn/toutes-les-publications
# Valeurs = population totale (ENSEMBLE). 2023 = recensement RGPH-5 ; 2024+ = projections.
# Tant qu'un nouveau recensement n'est pas publié, ces projections font foi.
nom,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Dakar,1278469,1302758,1327422,1352406,1377644,1403067,1428606,1454198,1479639,1504858,1529792,1554372,1578739,1602836,1626610,1650013,1673013,1695586,1717702,1739339,1760479,1781157,1801417,1821118,1840264,1858851,1876913,1894485
Guédiawaye,372708,379789,386979,394263,401620,409032,416477,423938,431354,438707,445975,453141,460245,467270,474200,481023,487728,494309,500756,507064,513227,519255,525161,530905,536486,541905,547170,552293
Pikine,764597,779123,793874,808816,823909,839113,854388,869693,884908,899991,914902,929603,944176,958587,972805,986801,1000557,1014057,1027283,1040223,1052866,1065233,1077349,1089132,1100582,1111698,1122500,1133010
Rufisque,818337,833884,849671,865664,881818,898091,914438,930820,947104,963247,979207,994940,1010538,1025961,1041179,1056159,1070881,1085330,1099486,1113336,1126867,1140103,1153071,1165682,1177937,1189834,1201396,1212644
Keur Massar,770314,784949,799810,814863,830070,845388,860776,876196,891524,906720,921743,936554,951235,965754,980079,994180,1008038,1021639,1034964,1048001,1060739,1073198,1085405,1097276,1108811,1120011,1130893,1141481
Bambey,376467,387857,399621,411787,424365,437360,450771,464599,478801,493364,508270,523493,539069,554975,571191,587692,604486,621584,638973,656642,674577,692846,711527,730580,750016,769840,790084,810780
Diourbel,344109,354520,365273,376393,387890,399768,412026,424666,437647,450959,464583,478498,492735,507274,522096,537179,552529,568157,584052,600202,616596,633295,650370,667786,685550,703671,722175,741092
Mbacké,1359756,1400897,1443387,1487328,1532759,1579693,1628134,1678078,1729375,1781976,1835812,1890798,1947055,2004508,2063076,2122676,2183333,2245089,2307898,2371714,2436495,2502482,2569953,2638773,2708971,2780576,2853694,2928445
Fatick,408566,420157,432283,444977,458262,472153,486662,501797,517523,533830,550695,567668,585161,603150,621604,640491,659794,679506,699604,720069,740879,762060,783659,805656,828065,850898,874187,897971
Foundiougne,375388,386038,397179,408842,421049,433811,447142,461048,475497,490480,505975,521570,537643,554170,571126,588479,606215,624326,642792,661595,680715,700176,720021,740232,760821,781800,803198,825050
