# Projections démographiques ANSD (régions) — base RGPH-5 2023
# SOURCE OFFICIELLE EXACTE : ANSD, "Projections démographiques du Sénégal 2023-2050"
#   téléchargé depuis https://www.ansd.sn/toutes-les-publications
# Valeurs = population totale (ENSEMBLE). 2023 = recensement RGPH-5 ; 2024+ = projections.
# Tant qu'un nouveau recensement n'est pas publié, ces projections font foi.
nom,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Dakar,4004425,4080503,4157756,4236012,4315062,4394690,4474685,4554844,4634529,4713522,4791619,4868610,4944933,5020408,5094872,5168176,5240218,5310920,5380192,5447963,5514178,5578946,5642403,5704113,5764081,5822299,5878872,5933914
Diourbel,2080332,2143275,2208281,2275508,2345014,2416820,2490931,2567343,2645823,2726299,2808665,2892789,2978859,3066757,3156362,3247547,3340348,3434830,3530923,3628558,3727668,3828623,3931849,4037139,4144537,4254087,4365953,4480317
Fatick,906922,932651,959568,987745,1017236,1048070,1080276,1113873,1148782,1184979,1222415,1260091,1298923,1338853,1379817,1421741,1464591,1508346,1552960,1598387,1644579,1691597,1739541,1788371,1838113,1888796,1940493,1993288
Kaffrine,820404,848581,878045,908865,941072,974684,1009698,1046119,1083863,1122910,1163232,1204796,1247698,1291891,1337333,1383977,1431889,1481129,1531684,1583542,1636690,1691273,1747368,1805033,1864326,1925305,1988058,2052681
Kaolack,1336718,1375350,1415481,1457179,1500470,1545364,1591861,1639958,1689491,1740415,1792671,1846186,1901088,1957304,2014752,2073348,2133092,2194001,2256026,2319115,2383217,2448437,2514924,2582582,2651442,2721534,2792945,2865853
Kédougou,245147,252080,259267,266704,274386,282307,290465,298855,307451,316248,325241,334431,343855,353503,363368,373440,383732,394252,404999,415967,427156,438574,450235,462110,474206,486527,499084,511879
Kolda,914797,941511,969385,998466,1028770,1060295,1093033,1126971,1162000,1198081,1235167,1273194,1312240,1352240,1393134,1434863,1477422,1520827,1565057,1610095,1655914,1702579,1750191,1798663,1848041,1898366,1949696,2002092
Louga,1125910,1155703,1186520,1218402,1251364,1285401,1320500,1356645,1393690,1431587,1470272,1509664,1549862,1590798,1632401,1674595,1717364,1760710,1804593,1848972,1893805,1939183,1985224,2031796,2078908,2126567,2174827,2223743
Matam,831632,855290,879983,905779,932715,960814,990085,1020537,1052095,1084738,1118428,1153118,1188870,1225633,1263355,1301975,1341493,1381923,1423234,1465395,1508372,1552237,1597082,1642818,1689461,1737032,1785595,1835221
Saint-Louis,1202438,1230598,1259716,1289815,1320895,1352946,1385947,1419882,1454602,1490059,1526190,1562915,1600339,1638395,1677016,1716125,1755671,1795617,1835918,1876526,1917387,1958532,2000011,2041667,2083495,2125487,2167672,2210086
Sédhiou,589264,606772,625043,644156,664150,685045,706860,729603,753228,777721,803056,829190,856162,883932,912462,941711,971672,1002354,1033735,1065796,1098515,1131949,1166180,1201157,1236904,1273447,1310846,1349169
Tambacounda,987154,1017563,1049252,1082259,1116596,1152262,1189249,1227545,1267040,1307696,1349470,1392310,1436314,1481425,1527583,1574732,1622893,1672106,1722353,1773608,1825846,1879143,1933604,1989123,2045734,2103473,2162387,2222533
Thiès,2463679,2524516,2587090,2651454,2717601,2785507,2855138,2926463,2999188,3073219,3148438,3224700,3302235,3380912,3460594,3541132,3622426,3704404,3786961,3869990,3953383,4037289,4121907,4206904,4292261,4377964,4464128,4550893
Ziguinchor,617568,628865,640575,652718,665297,678313,691761,705636,719870,734439,749311,764445,779885,795596,811535,827664,843936,860318,876781,893294,909827,926379,942961,959493,975973,992399,1008791,1025181
