# Produit Intérieur Brut Régional du Sénégal
# SOURCE OFFICIELLE EXACTE : ANSD, "Résultats des comptes économiques régionaux 2020-2023"
#   téléchargé depuis https://www.ansd.sn/toutes-les-publications
# PIB en volume et en valeur (milliards FCFA). Part sectorielle = % de la Valeur Ajoutée totale.
region,year,pib_volume_mds,pib_valeur_mds,part_primaire_pct,part_secondaire_pct,part_tertiaire_pct
Dakar,2020,6584.6,6627.6,2.7,30.3,67.0
Dakar,2021,7124.1,7252.4,2.5,30.3,67.2
Dakar,2022,7439.6,8185.2,2.5,29.6,67.9
Dakar,2023,7688.1,8567.7,2.2,30.3,67.5
Diourbel,2020,737.1,789.8,11.7,29.4,58.8
Diourbel,2021,766.7,857.1,10.3,29.5,60.3
Diourbel,2022,796.5,932.2,10.2,29.5,60.4
Diourbel,2023,837.1,1000.9,9.9,29.9,60.2
Fatick,2020,433.6,471.0,41.3,10.5,48.2
Fatick,2021,450.8,488.7,39.8,10.3,49.9
Fatick,2022,449.5,542.8,37.2,11.1,51.8
Fatick,2023,483.4,619.1,38.7,10.8,50.4
Kaffrine,2020,417.0,431.7,55.7,12.5,31.8
Kaffrine,2021,408.1,446.7,51.8,13.4,34.8
Kaffrine,2022,407.5,497.6,49.2,14.3,36.5
Kaffrine,2023,450.8,581.8,51.4,13.6,35.0
Kaolack,2020,598.6,664.8,35.2,18.0,46.8
Kaolack,2021,597.6,660.6,30.5,18.8,50.7
Kaolack,2022,603.6,730.4,27.0,20.9,52.1
Kaolack,2023,649.1,820.9,29.2,20.0,50.8
Kolda,2020,448.9,461.5,54.1,10.3,35.7
Kolda,2021,466.6,486.3,52.9,10.2,37.0
Kolda,2022,453.8,532.1,49.3,11.0,39.7
Kolda,2023,495.3,619.7,50.6,10.7,38.7
Kédougou,2020,284.8,474.5,11.8,68.3,19.9
Kédougou,2021,318.7,549.2,12.5,69.7,17.8
Kédougou,2022,289.5,601.6,13.7,65.2,21.1
Kédougou,2023,305.4,668.1,13.7,65.0,21.3
Louga,2020,527.8,545.2,36.0,15.7,48.4
Louga,2021,542.0,567.9,34.2,15.6,50.2
Louga,2022,552.1,641.0,33.1,15.5,51.4
Louga,2023,586.6,700.9,33.6,15.8,50.7
Matam,2020,294.8,327.8,27.0,21.2,51.7
Matam,2021,309.8,360.0,26.6,20.9,52.5
Matam,2022,331.7,444.3,26.7,21.6,51.7
Matam,2023,341.1,486.4,25.9,20.5,53.6
Saint-Louis,2020,594.7,646.4,28.1,19.8,52.1
Saint-Louis,2021,640.2,712.9,28.9,19.3,51.8
Saint-Louis,2022,668.7,822.0,28.4,20.3,51.3
Saint-Louis,2023,689.7,910.0,27.9,19.8,52.3
Sédhiou,2020,319.5,334.1,56.8,7.9,35.3
Sédhiou,2021,345.5,367.2,57.3,7.5,35.2
Sédhiou,2022,366.2,431.6,58.4,7.3,34.4
Sédhiou,2023,382.3,479.1,58.0,7.5,34.5
Tambacounda,2020,430.2,472.3,42.2,18.6,39.2
Tambacounda,2021,459.6,511.2,41.9,18.6,39.5
Tambacounda,2022,469.3,570.3,40.5,19.0,40.5
Tambacounda,2023,483.1,607.1,39.5,18.7,41.8
Thiès,2020,1291.2,1414.9,19.5,23.7,56.8
Thiès,2021,1377.0,1512.0,18.9,23.7,57.4
Thiès,2022,1522.5,1876.4,19.9,23.9,56.2
Thiès,2023,1575.3,1981.3,19.9,23.5,56.6
Ziguinchor,2020,411.2,457.9,41.2,13.1,45.7
Ziguinchor,2021,442.5,489.0,41.9,12.7,45.4
Ziguinchor,2022,447.3,522.6,41.4,12.5,46.1
Ziguinchor,2023,460.6,576.5,41.4,12.9,45.8
